timestamp,tenant_id,session_id,x_enc_data,category,response_node,fail_reason,question_type,total_tokens,response_len,has_data_gap_phrase,has_boilerplate_phrase,short_answer_flag,low_token_for_comprehensive,risk_score,user_input,llm_response_1000
2026-02-16 13:47:03,ibks,a77123e2-ca6d-4963-9ff5-093c2cef3dec,AsJ+lpbfKlroygnwhQuni8+Ip7X8ItDsoDwvx4Ue/mi8vnSbUjLslCszE3jzNGpmp9pKGn0nQtNT0XamKocBtw==,etf_fund,FINAL,,"market,stock",3773.0,51,true,false,1,0,3,코아시아가 포함된 관련 ETF는 뭐가 있나요?,코아시아(045970)가 포함된 관련 ETF 구성 종목 정보는 제공된 데이터 내에 없습니다.
2026-02-17 12:52:14,ibks,4f42d1c0-869e-48f8-8746-cec97fc0ffcb,QCKdQa5CR8rNncbljV+GrTCLZ1Ndwt7E6+76D0o92Hm7W1MxDtqMpq+CD250SuYG077HXQWdu7HRXihAJ6kgSw==,other,FINAL,,market,1926.0,95,true,false,1,0,3,대주주 지분50% 이상,"제공된 데이터 내에 특정 종목의 대주주 지분 50% 이상 보유 여부에 관한 정보가 없습니다.   따라서, 대주주 지분율이 50% 이상인 종목에 대해 답변할 수 없습니다."
2026-02-19 00:40:34,ibks,346173c3-e5a4-443e-ab62-c25e4992e1ec,E67WRglBOALppBrONGUugTgC+l2U2h3Dcx9gjOwY4RaV9RYkIaUqwzhSsU+QHYFdAhCvfCoavuQaanB03FllbQ==,comprehensive_analysis,FINAL,,"market,stock",6861.0,101,true,false,1,0,3,SK텔레콤(017670)를 종합적으로 분석해줘,SK텔레콤(017670)에 대한 제공된 데이터가 없으므로 분석을 제공하기 어렵습니다.   대신 SK(034730)에 대한 데이터는 있습니다. 추가 질문이 있으면 알려주시기 바랍니다.
2026-02-18 04:24:38,ibks,5337c436-6d12-4347-95d7-02414fc55c9d,JF5tK2Nt0hm6HUFMkJBUq2zAiTrQ5dJscennDio2/Xr0wKaHkcmHJ71ypsiI015TxWRS90zuwqu73gy0MZSmmQ==,etf_fund,FINAL,,"market,theme",14138.0,104,true,false,1,0,3,바이오ETF종목알려죠,"바이오 관련 ETF는 제공된 데이터에 포함되어 있지 않습니다.  현재 제공된 데이터에는 바이오섹터 ETF 목록이 포함되어 있지 않으므로, 바이오 ETF 종목 정보는 제공할 수 없습니다."
2026-02-16 04:22:00,ibks,c4cd302c-1faf-4789-bb4a-374b6942ac8f,jXuJqRpDfBY412hSu0s5Tg6X0WeWvDC+JQyLJTCgmtJWn7Kub/uKRMiOS7xaVLcWhMp3cmavPVvIstMZ29FzDA==,trading,FINAL,,"market,stock",4138.0,111,true,false,1,0,3,최근 재영솔루텍 외국인 매수 추이는 어때요?,재영솔루텍(종목코드: 049630)의 외국인 매수 추이에 관한 구체적인 데이터는 제공된 자료에 포함되어 있지 않습니다.  따라서 최근 외국인 매수 추이를 판단할 수 있는 근거가 없음을 알려드립니다.
2026-02-16 04:49:50,ibks,284e1a47-2fb3-47d0-8c6e-f206a8f974ca,us9wsVxSWx+6zR8fNSarJz4jX+5sw3jsdUbktbQfdOBfuWEhaBc9AMVyetHo2scwqQ2sADEQXcJHsqzYc6//Gg==,simple_name,FINAL,,"market,stock",4596.0,118,true,false,1,0,3,퓨리오지분,현재 제공된 데이터 내에서는 엑스페릭스(317770)의 퓨리오지분 관련 정보가 포함되어 있지 않습니다.  관련 구체적인 지분 보유 현황이나 퓨리오와의 관계에 대해서는 별도의 공시나 추가 자료 확인이 필요합니다.
2026-02-16 04:21:43,ibks,c4cd302c-1faf-4789-bb4a-374b6942ac8f,jXuJqRpDfBY412hSu0s5Tg6X0WeWvDC+JQyLJTCgmtJWn7Kub/uKRMiOS7xaVLcWhMp3cmavPVvIstMZ29FzDA==,trading,FINAL,,"market,stock",7110.0,118,true,false,1,0,3,외국인 매수 상황,재영솔루텍(종목코드: 049630)의 외국인 매수 상황에 관한 별도의 데이터는 제공된 정보 내에 포함되어 있지 않습니다. 따라서 외국인 투자자의 매수·매도 동향에 대해서는 구체적인 내용을 전달드리기 어렵습니다.
2026-02-19 09:02:24,ibks,7a81e9ab-079e-4710-96d3-c0fc677f898e,nECPgpo9ruopSC3IDU83uNBlAOW+zWvLQN3Jlc/IMauzxU32sH3u045BZVsGFA+C4KhTrSEINe5QeFuDcroEOA==,analyst,FINAL,,"market,stock",3365.0,119,true,false,1,0,3,Snt에너지목표주가,"SNT에너지(종목코드: 100840)의 목표주가에 관한 데이터는 제공된 자료 내에 없습니다.  제공된 정보에는 애널리스트 목표주가 데이터가 포함되어 있지 않으므로, 목표주가 관련 구체적인 수치는 확인 불가합니다."
2026-02-19 07:05:38,ibks,15cb362c-98d2-45b6-bfb7-99cbf8e73051,ex6zF5tTYFvnYyg2+FYtXtDGUsiDw95ZjKLtMi98eYQqesWrsg6X7j+0AizSbyjtlP8M+yXGFfGetiZCPHVrPw==,financial,FINAL,,"market,stock",3549.0,126,true,false,1,0,3,대림바스 최근 배당락일은 언제였나요?,"대림바스(005750)의 최근 배당락일에 관한 정보는 제공된 데이터 내에 포함되어 있지 않습니다.   배당락일은 회사의 공식 공시나 한국거래소(KRX) 공시에서 확인하실 수 있으니, 해당 자료를 참고하시는 것을 권장드립니다."
2026-02-14 00:09:21,ibks,51479f23-972f-436f-a687-94042dfa8d27,C96rwcoG7f5k98UUA2GzCaW9fjlMK6AaYNSyYecRNPSws63g1mxsBMbBm5maP3raRL3v26d9ts68n6KBfS87Jg==,etf_fund,FINAL,,"etf,market",3152.0,128,true,false,1,0,3,SOL코리아고배당 ETF 구성 종목 정보가 궁금해요.,SOL코리아고배당 (종목코드: 0105E0) ETF의 구성 종목 정보는 제공된 데이터 내에 아직 포함되어 있지 않아 확인할 수 없습니다.  따라서 해당 ETF의 구성 종목을 표기된 형태로 제공드리기 어려운 점 참고 부탁드립니다.
