timestamp,tenant_id,session_id,x_enc_data,response_node,fail_reason,question_type,category,total_tokens,user_input,llm_response_1000
2026-02-19 23:34:07,ibks,6cccb82b-046f-4885-91e4-cb61b5f64536,8db2yuBfH76HqKUdJzaRhq3lddPaKFVZrixONWTxUDp0jS2uL/M78MadcP0eRCTtcIC7fU+emLfj1zAYcaiXsA==,UNSUPPORTED,,"market,stock",analyst,970.0,한화투자증권목표주가,"죄송합니다. 저는 금융 및 투자 정보 제공을 위한 금융 전문 챗봇으로, 요청하신 질문에는 답변을 드리기 어렵습니다. 종목명이나 시장 상황 등 다른 금융 관련 질문이 있으시면 말씀해 주세요."
2026-02-19 23:26:39,ibks,3a3c1396-a19b-4508-a4ba-dcb9fac32b3a,LkELMrKZqVxH7Ltj7WAfhmH6lGymiUlpxUSDD5NfhDgPOwRPf+8mANx4tpARw0UKHerhAy6A4Jxe+4pOqSi3LQ==,SAFETY,,"market,stock",trading,0.0,매도가는??,"죄송합니다. 저는 법률 및 내부 규정에 따라 특정 종목을 추천하거나 개인적인 투자 자문을 제공할 수 없습니다. 저의 역할은 객관적인 사실과 데이터를 기반으로 정보를 제공하여 투자자님의 현명한 판단을 돕는 것입니다. 특정 기업의 재무 정보, 최신 뉴스, 공시 등 궁금한 점이 있으시면 종목명을 말씀해 주세요."
2026-02-19 23:26:18,ibks,3a3c1396-a19b-4508-a4ba-dcb9fac32b3a,LkELMrKZqVxH7Ltj7WAfhmH6lGymiUlpxUSDD5NfhDgPOwRPf+8mANx4tpARw0UKHerhAy6A4Jxe+4pOqSi3LQ==,UNSUPPORTED,,market,other,2201.0,아이로보틱스 인수한 에이아이로보틱스는 어떤 회사인가요?,"죄송합니다. 저는 금융 및 투자 정보 제공을 위한 금융 전문 챗봇으로, 요청하신 질문에는 답변을 드리기 어렵습니다. 종목명이나 시장 상황 등 다른 금융 관련 질문이 있으시면 말씀해 주세요."
2026-02-19 23:13:31,ibks,202a663e-c231-42dd-8a24-e24877241804,q0C05g0s5LOLlVE65L20V9TdrZEVNF4/prPCPNkCxdElWH+lvBldEYZIs4mGexE/YE4i/EHPwL+6VvLyOMeomQ==,UNSUPPORTED,,market,etf_fund,2131.0,ETF주도주,"질문의 범위가 너무 넓어 명확한 답변을 드리기 어렵습니다. 조금 더 구체적으로 질문해 주시겠어요? 예를 들어, '삼성전자의 최근 3년간 매출 실적'과 같이 구체적인 기업명과 원하는 정보를 포함하여 질문해 주시면 더 정확한 답변을 드릴 수 있습니다."
2026-02-19 22:51:01,ibks,9ad64d96-4b01-4404-9f46-9503d432e39d,S7yk4nFtHvzTH5vXTql7k2ZBLLJ7uTyW35jiJ1Bas9985tZ9CPn+pspRKdvldDtNrSL4tr3aoLioCSOXXPJQyA==,AMBIGUOUS,,"market,stock",simple_name,543.0,Lk삼양,"- LK삼양(225190) - KOSDAQ 상장, 현재 거래 중인 종목입니다."
2026-02-19 22:18:00,ibks,5be5fe2c-97bb-4ff0-940e-f480d9775c40,Xnrsv1xeXdPxEHjpYAniqsTtEwXycao4GG8xCag4R8Ee/Wul6aNxcS9d6jDMqR2Cl1Q6L7zgbNnixE81yeYXZQ==,UNSUPPORTED,,market,simple_name,968.0,프리마켓거래하는법,"죄송합니다. 저는 금융 및 투자 정보 제공을 위한 금융 전문 챗봇으로, 요청하신 질문에는 답변을 드리기 어렵습니다. 종목명이나 시장 상황 등 다른 금융 관련 질문이 있으시면 말씀해 주세요."
2026-02-19 22:09:38,ibks,411b3c2c-6ce1-4abf-bed3-56ac0ed3983b,ygIR9VBh4+arCutCgQKDgMfHF7l4T5fso9YZ+Cmz97PIPdTvCmujgsjcLuePchR9IYKRHO7duMU7+kmGm8V9zg==,UNSUPPORTED,,market,financial,1110.0,유리기판 관련 저PER 종목 중 눈에 띄는 곳 있나요?,"죄송합니다. 저는 금융 및 투자 정보 제공을 위한 금융 전문 챗봇으로, 요청하신 질문에는 답변을 드리기 어렵습니다. 종목명이나 시장 상황 등 다른 금융 관련 질문이 있으시면 말씀해 주세요."
2026-02-19 21:50:02,ibks,a28457ad-5668-4420-86e6-9e17df649369,3uq+Rq0cWX6pINhXcAFqPvqYVzgG4i2NWBaZkeY2qr2tNtPuYrxqZ5bwiJVPUfTBRG8dADCuTlGRbJHnKiazEg==,UNSUPPORTED,,"market,stock",comprehensive_analysis,2044.0,기술적으로 분석해줘,"질문의 범위가 너무 넓어 명확한 답변을 드리기 어렵습니다. 조금 더 구체적으로 질문해 주시겠어요? 예를 들어, '삼성전자의 최근 3년간 매출 실적'과 같이 구체적인 기업명과 원하는 정보를 포함하여 질문해 주시면 더 정확한 답변을 드릴 수 있습니다."
2026-02-19 18:38:29,ibks,14738c47-d7ae-464d-84a7-07791502d77a,Bi178w/v6Fv3VZKJ+mC8PwsTn239UHIX4G4aWEqCUQ/jsDPVNrx5CvOJo0PobueInEIk55pgHV2uhuxd15kmJA==,AMBIGUOUS,,"etf,market",comprehensive_analysis,755.0,TIGER 미국S 종합적으로 분석해줘,- TIGER 미국S&P500선물(H) (143850) - TIGER 미국S&P500배당귀족 (429000) - TIGER 미국S&P500레버리지(합성 H) (225040) - TIGER 미국S&P500타겟데일리커버드콜 (482730) - TIGER 미국S&P500 (360750)
2026-02-19 17:10:31,ibks,fa4c335d-a747-46d6-8167-eafaeee7b176,DRXNbiUZuZr7MDU2WWtuZ3+UVW+l8P6E1i0yB6SOHVXscDa9AjBYmLJIaKZvrizr4tWa7ZRSVHrsc98KHKIDlQ==,UNSUPPORTED,,market,trading,969.0,주식매도금 담보대출,"죄송합니다. 저는 금융 및 투자 정보 제공을 위한 금융 전문 챗봇으로, 요청하신 질문에는 답변을 드리기 어렵습니다. 종목명이나 시장 상황 등 다른 금융 관련 질문이 있으시면 말씀해 주세요."
2026-02-19 17:09:52,ibks,4c95d39a-6eed-4386-9bb0-91d679303906,FTCy0tLhAVTYxdwCmj4NbswJuHviI5B6aRRKk8KedXJ+9kaV5FOA7uuwMCQcFO/xBEQ7FJVjXe6eL8rg1rgi/g==,UNSUPPORTED,,market,simple_name,1048.0,대출,"질문의 범위가 너무 넓어 명확한 답변을 드리기 어렵습니다. 조금 더 구체적으로 질문해 주시겠어요? 예를 들어, '삼성전자의 최근 3년간 매출 실적'과 같이 구체적인 기업명과 원하는 정보를 포함하여 질문해 주시면 더 정확한 답변을 드릴 수 있습니다."
2026-02-19 17:09:32,ibks,4c95d39a-6eed-4386-9bb0-91d679303906,FTCy0tLhAVTYxdwCmj4NbswJuHviI5B6aRRKk8KedXJ+9kaV5FOA7uuwMCQcFO/xBEQ7FJVjXe6eL8rg1rgi/g==,UNSUPPORTED,,market,other,940.0,온라인업무가종료되었습니다,죄송합니다. 입력하신 내용을 정확히 이해하지 못했습니다. 확인 후 다시 질문해 주시겠어요?
2026-02-19 14:03:47,ibks,c3ff1ae9-b019-4ad0-a3eb-f4292b907e5a,fVrz5tThWrcczkQ61/Ryyklj6g+IL+6lpMBfSV/nV/ophg8a5oyCG055X6kWAJ39VWVd8CcTB0N5qUAjZCt5Dg==,AMBIGUOUS,,"market,stock",simple_name,635.0,은테크,- 은테크(해당 종목 없음): 현재 제공된 데이터 내에 '은테크'라는 종목은 없습니다.   - 비슷한 이름의 종목이 필요하면 추가로 알려주세요.
2026-02-19 13:42:11,ibks,1632deb3-7e23-4f38-9ab4-fd2b3e2fbbd7,LhXfulJ1uE5+NfVUw+BhMzt45+LD91r4JBzDb7YkNzFh9MBfQP27Brr5NFc2bKIk2iMJugsMwMh5EzGrgGiTZA==,ETN,,"etf,market",comprehensive_analysis,520.0,KODEX 200선물인버스2X(252670)를 종합적으로 분석해줘,"KODEX 200선물인버스2X(252670)는 인버스 및 레버리지 ETN 상품으로, 본 시스템에서는 가격, 뉴스, 재무 데이터 조회 및 종합 분석이 지원되지 않습니다. 대신 동일한 투자 테마를 가진 ETF나 관련 개별 주식 정보를 안내해 드릴 수 있습니다. 원하시면 KODEX 200 관련 ETF나 주요 대형주, 또는 시장 동향 중 어떤 정보를 원하시는지 알려주시면 도움을 드리겠습니다."
2026-02-19 12:51:22,ibks,f4b22617-b661-40ec-b451-658b03e9dae9,YOr+rBA9vOIfxPFkuE/Ql9K3mIIk49jYzcBj/U3232smLxq65uEsP8IXjg4LHs0VoBhsnTMz+PtHMjunp6gqHA==,ETN,,"etf,market",comprehensive_analysis,519.0,KODEX 코스닥150레버리지(233740)를 종합적으로 분석해줘,"KODEX 코스닥150레버리지(233740)는 레버리지 ETN으로, 본 시스템에서는 ETN 및 인버스·레버리지 상품의 가격, 뉴스, 재무 데이터 조회와 분석을 지원하지 않습니다. 대신, 동일한 코스닥150 지수를 추종하는 일반 ETF나 관련 개별 주식 정보를 안내해 드릴 수 있습니다. 원하시면 코스닥150 관련 ETF나 주요 종목, 또는 시장 동향 중 어떤 정보를 원하시는지 알려주세요."
