timestamp,tenant_id,session_id,x_enc_data,response_node,fail_reason,question_type,category,total_tokens,final_turn_count,nonfinal_turn_count,user_input,llm_response_1000
2026-02-19 23:34:07,ibks,6cccb82b-046f-4885-91e4-cb61b5f64536,8db2yuBfH76HqKUdJzaRhq3lddPaKFVZrixONWTxUDp0jS2uL/M78MadcP0eRCTtcIC7fU+emLfj1zAYcaiXsA==,UNSUPPORTED,,"market,stock",analyst,970.0,2,1,한화투자증권목표주가,"죄송합니다. 저는 금융 및 투자 정보 제공을 위한 금융 전문 챗봇으로, 요청하신 질문에는 답변을 드리기 어렵습니다. 종목명이나 시장 상황 등 다른 금융 관련 질문이 있으시면 말씀해 주세요."
2026-02-19 23:26:39,ibks,3a3c1396-a19b-4508-a4ba-dcb9fac32b3a,LkELMrKZqVxH7Ltj7WAfhmH6lGymiUlpxUSDD5NfhDgPOwRPf+8mANx4tpARw0UKHerhAy6A4Jxe+4pOqSi3LQ==,SAFETY,,"market,stock",trading,0.0,2,2,매도가는??,"죄송합니다. 저는 법률 및 내부 규정에 따라 특정 종목을 추천하거나 개인적인 투자 자문을 제공할 수 없습니다. 저의 역할은 객관적인 사실과 데이터를 기반으로 정보를 제공하여 투자자님의 현명한 판단을 돕는 것입니다. 특정 기업의 재무 정보, 최신 뉴스, 공시 등 궁금한 점이 있으시면 종목명을 말씀해 주세요."
2026-02-19 23:26:18,ibks,3a3c1396-a19b-4508-a4ba-dcb9fac32b3a,LkELMrKZqVxH7Ltj7WAfhmH6lGymiUlpxUSDD5NfhDgPOwRPf+8mANx4tpARw0UKHerhAy6A4Jxe+4pOqSi3LQ==,UNSUPPORTED,,market,other,2201.0,2,2,아이로보틱스 인수한 에이아이로보틱스는 어떤 회사인가요?,"죄송합니다. 저는 금융 및 투자 정보 제공을 위한 금융 전문 챗봇으로, 요청하신 질문에는 답변을 드리기 어렵습니다. 종목명이나 시장 상황 등 다른 금융 관련 질문이 있으시면 말씀해 주세요."
2026-02-19 23:13:31,ibks,202a663e-c231-42dd-8a24-e24877241804,q0C05g0s5LOLlVE65L20V9TdrZEVNF4/prPCPNkCxdElWH+lvBldEYZIs4mGexE/YE4i/EHPwL+6VvLyOMeomQ==,UNSUPPORTED,,market,etf_fund,2131.0,3,1,ETF주도주,"질문의 범위가 너무 넓어 명확한 답변을 드리기 어렵습니다. 조금 더 구체적으로 질문해 주시겠어요? 예를 들어, '삼성전자의 최근 3년간 매출 실적'과 같이 구체적인 기업명과 원하는 정보를 포함하여 질문해 주시면 더 정확한 답변을 드릴 수 있습니다."
2026-02-19 22:51:01,ibks,9ad64d96-4b01-4404-9f46-9503d432e39d,S7yk4nFtHvzTH5vXTql7k2ZBLLJ7uTyW35jiJ1Bas9985tZ9CPn+pspRKdvldDtNrSL4tr3aoLioCSOXXPJQyA==,AMBIGUOUS,,"market,stock",simple_name,543.0,2,1,Lk삼양,"- LK삼양(225190) - KOSDAQ 상장, 현재 거래 중인 종목입니다."
2026-02-19 22:09:38,ibks,411b3c2c-6ce1-4abf-bed3-56ac0ed3983b,ygIR9VBh4+arCutCgQKDgMfHF7l4T5fso9YZ+Cmz97PIPdTvCmujgsjcLuePchR9IYKRHO7duMU7+kmGm8V9zg==,UNSUPPORTED,,market,financial,1110.0,1,1,유리기판 관련 저PER 종목 중 눈에 띄는 곳 있나요?,"죄송합니다. 저는 금융 및 투자 정보 제공을 위한 금융 전문 챗봇으로, 요청하신 질문에는 답변을 드리기 어렵습니다. 종목명이나 시장 상황 등 다른 금융 관련 질문이 있으시면 말씀해 주세요."
2026-02-19 21:50:02,ibks,a28457ad-5668-4420-86e6-9e17df649369,3uq+Rq0cWX6pINhXcAFqPvqYVzgG4i2NWBaZkeY2qr2tNtPuYrxqZ5bwiJVPUfTBRG8dADCuTlGRbJHnKiazEg==,UNSUPPORTED,,"market,stock",comprehensive_analysis,2044.0,2,1,기술적으로 분석해줘,"질문의 범위가 너무 넓어 명확한 답변을 드리기 어렵습니다. 조금 더 구체적으로 질문해 주시겠어요? 예를 들어, '삼성전자의 최근 3년간 매출 실적'과 같이 구체적인 기업명과 원하는 정보를 포함하여 질문해 주시면 더 정확한 답변을 드릴 수 있습니다."
2026-02-19 11:59:16,ibks,340c8231-df51-401e-91a8-845db7fde11d,EL9fG1iwDzv2zfcffYBAp2Sr7UxzEjC1Wne5dVPkUmgVgsRQAe6Av7dnJe95u5RT95Q+9tmiNELiRa9LqlTVGQ==,AMBIGUOUS,,"market,stock",simple_name,470.0,3,1,애너토크목표가,"- 에너토크(019990, KOSDAQ): '애너토크'가 아닌 '에너토크'가 정확한 종목명입니다.   - 현재 목표가 정보는 제공되지 않으니, 추가 문의나 공식 리포트 확인을 권장드립니다."
2026-02-19 11:44:34,ibks,e76a9f36-06af-4faa-b783-6acc331a0da7,jEPB8Cfux95XxwBKRehd8Tv1a+Zph1jsZiq+oqW8KBYUFEWx99AhDdR0ULBHGvuA821WbkFrVWgHjgd+bZtayA==,AMBIGUOUS,,"market,stock",simple_name,330.0,4,2,만도목표가,- 만도(204320.KQ): 현재 목표주가에 대한 구체적인 정보가 필요합니다. 최신 목표주가는 증권사 리포트나 IBK 투자증권 홈페이지에서 확인하시는 것을 권장드립니다.
2026-02-19 11:43:39,ibks,e76a9f36-06af-4faa-b783-6acc331a0da7,jEPB8Cfux95XxwBKRehd8Tv1a+Zph1jsZiq+oqW8KBYUFEWx99AhDdR0ULBHGvuA821WbkFrVWgHjgd+bZtayA==,AMBIGUOUS,,"market,stock",simple_name,354.0,4,2,기아차목표가,"- 기아(000270.KQ): 현재 목표가는 증권사별로 다르지만, 최근 리포트 기준으로 9만~11만원 사이에서 제시되고 있습니다.   - 참고로, 목표가는 시장 상황과 기업 실적에 따라 변동될 수 있으니, 최신 리포트를 확인하는 것이 좋습니다."
